LOGIN 1
Performance

Total Time Taken:1740
Class Name,API,Time Taken(ms),Api Category,Caller Stack
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl,getServiceTicket,218,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.client.webflow.action.GenerateServiceTicketStep.generateServiceTicket->com.eqtechnologic.eqube.security.client.webflow.action.GenerateServiceTicketStep.execute
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl,createTicketGrantingTicket,192,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.client.webflow.action.GenerateTGTStep.execute->com.eqtechnologic.eqube.security.client.webflow.action.AbstractAction.generateTGTAndCookie
com.eqtechnologic.eqube.security.service.central.EmbeddedDataService,persist,90,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.service.central.AbstractCentralAuthenticationService.grantTicketGrantingTicket->com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl.createTicketGrantingTicket
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,persist,89,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.EmbeddedDataService.persist->com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice
com.eqtechnologic.eqube.security.service.central.EmbeddedDataService,fetch,75,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.service.central.DefaultAuthorizationHandler.getServiceAccessInfo->com.eqtechnologic.eqube.security.service.central.DefaultAuthorizationHandler.updateLastServiceAccessedTime
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,fetch,74,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.EmbeddedDataService.fetch->com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice
com.eqtechnologic.eqube.security.service.central.EmbeddedDataService,persist,64,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.service.central.AbstractCentralAuthenticationService.addTicket->com.eqtechnologic.eqube.security.service.central.AbstractCentralAuthenticationService.grantServiceTicketToken
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,persist,63,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.EmbeddedDataService.persist->com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl,checkCustomAuthentication,46,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.client.webflow.action.db.DBAction.checkCustomAuthentication->com.eqtechnologic.eqube.security.client.webflow.action.db.DBAction.performFlowStepExecution
com.eqtechnologic.eqube.security.service.central.EmbeddedDataService,fetch,45,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl.checkCustomAuthentication->com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,fetch,44,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.EmbeddedDataService.fetch->com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,update,43,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.authentication.handlers.AbstractAuthenticationHandler.updateUserInfo->com.eqtechnologic.eqube.security.service.central.authentication.handlers.AbstractAuthenticationHandler.updateUserLoggedInAttempt
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,fetchUserForAuthorization,41,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.authentication.handlers.persondir.AbstractAttributeDao.getUser->com.eqtechnologic.eqube.security.service.central.authentication.handlers.AttributeRepositoryDao.getPerson
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl,authenticate,19,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.client.webflow.action.db.DBAuthStep.performAuthentication->com.eqtechnologic.eqube.security.client.webflow.action.db.DBAuthStep.execute
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,fetch,14,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.authentication.handlers.db.DatabaseAuthenticationHandler.fetchCredentials->com.eqtechnologic.eqube.security.service.central.authentication.handlers.db.DatabaseAuthenticationHandler.doAuthentication
com.eqtechnologic.eqube.security.cache.transaction.CacheTransactionalOperation,transactionalOperation,14,CACHE,com.eqtechnologic.eqube.security.cache.transaction.CacheTransactionalOperation.transactionalOperation->com.eqtechnologic.eqube.security.service.data.TicketCacheWithIgnite.executeOperation->com.eqtechnologic.eqube.security.service.data.TicketCacheWithIgnite.persistTicketGrantingTicket
com.eqtechnologic.eqube.security.service.central.EmbeddedDataService,update,14,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.service.central.AbstractCentralAuthenticationService.grantServiceTicketToken->com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl.getServiceTicket
com.eqtechnologic.eqube.security.cache.transaction.CacheTransactionalOperation,transactionalOperation,13,CACHE,com.eqtechnologic.eqube.security.cache.transaction.CacheTransactionalOperation.transactionalOperation->com.eqtechnologic.eqube.security.service.data.TicketCacheWithIgnite.executeOperation->com.eqtechnologic.eqube.security.service.data.TicketCacheWithIgnite.persistServiceTicket
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,update,13,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.EmbeddedDataService.update->com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice
